team_name,year,squad_value_eur
Paraguay,2010,38250000
Portugal,2010,311600000
Serbia,2010,105550000
Slovakia,2010,44950000
Slovenia,2010,23750000
South Africa,2010,5475000
South Korea,2010,8500000
Spain,2010,542000000
Switzerland,2010,64150000
USA,2010,13025000
Uruguay,2010,162300000
Algeria,2014,75000000
Argentina,2014,503000000
Australia,2014,20875000
Belgium,2014,206700000
Bosnia and Herzegovina,2014,13162500
Brazil,2014,556000000
Cameroon,2014,72650000
Chile,2014,112200000
Colombia,2014,256300000
Costa Rica,2014,36950000
Croatia,2014,221500000
Ecuador,2014,23075000
England,2014,50250000
France,2014,408000000
Germany,2014,669000000
Ghana,2014,105800000
Greece,2014,106150000
Honduras,2014,8000000
Iran,2014,14025000
Italy,2014,433000000
Ivory Coast,2014,13162500
Japan,2014,82750000
Mexico,2014,73100000
Netherlands,2014,220000000
Nigeria,2014,80100000
Portugal,2014,320500000
Russia,2014,222500000
South Korea,2014,36700000
Spain,2014,673000000
Switzerland,2014,197000000
USA,2014,29350000
Uruguay,2014,238900000
Argentina,2018,978000000
Australia,2018,55950000
Belgium,2018,820500000
Brazil,2018,1303000000
Colombia,2018,318500000
Costa Rica,2018,41950000
Croatia,2018,409000000
Denmark,2018,304000000
Egypt,2018,200475000
England,2018,1014000000
France,2018,1378000000
Germany,2018,1099000000
Iceland,2018,80400000
Iran,2018,52900000
Japan,2018,101050000
Mexico,2018,189750000
Morocco,2018,208300000
Nigeria,2018,196900000
Panama,2018,5475000
Peru,2018,49550000
Poland,2018,303200000
Portugal,2018,686500000
Russia,2018,216000000
Saudi Arabia,2018,17700000
Senegal,2018,356500000
Serbia,2018,345000000
South Korea,2018,95850000
Spain,2018,1347000000
Sweden,2018,144000000
Switzerland,2018,254000000
Tunisia,2018,69750000
Uruguay,2018,420500000
Argentina,2022,732000000
Australia,2022,41275000
Belgium,2022,645000000
Brazil,2022,1170000000
Cameroon,2022,182400000
Canada,2022,178300000
Costa Rica,2022,20625000
Croatia,2022,408500000
Denmark,2022,368500000
Ecuador,2022,94600000
England,2022,1473000000
France,2022,1278000000
Germany,2022,972000000
Ghana,2022,223000000
Iran,2022,76775000
Japan,2022,150400000
Mexico,2022,218000000
Morocco,2022,331200000
Netherlands,2022,741000000
Poland,2022,309000000
Portugal,2022,1057000000
Qatar,2022,27775000
Saudi Arabia,2022,36750000
Senegal,2022,353000000
Serbia,2022,376500000
South Korea,2022,149525000
Spain,2022,1126000000
Switzerland,2022,300300000
Tunisia,2022,70050000
USA,2022,304000000
Uruguay,2022,468000000
Wales,2022,177700000
Algeria,2026,172450000
Angola,2026,44675000
Argentina,2026,826000000
Australia,2026,67300000
Austria,2026,342000000
Belgium,2026,551000000
Bolivia,2026,20200000
Bosnia and Herzegovina,2026,27000000
Brazil,2026,910000000
Bulgaria,2026,32125000
Cameroon,2026,291600000
Canada,2026,132575000
Chile,2026,94200000
China,2026,27000000
Colombia,2026,329000000
Costa Rica,2026,27500000
Croatia,2026,261700000
Cuba,2026,27000000
Czech Republic,2026,188000000
DR Congo,2026,104575000
Denmark,2026,414500000
Ecuador,2026,138700000
Egypt,2026,92700000
El Salvador,2026,4500000
England,2026,1451000000
France,2026,1160000000
Germany,2026,1132000000
Ghana,2026,185500000
Greece,2026,207800000
Haiti,2026,6175000
Honduras,2026,6800000
Hungary,2026,180700000
Iceland,2026,54000000
Indonesia,2026,22150000
Iran,2026,29400000
Iraq,2026,13750000
Israel,2026,62100000
Italy,2026,768000000
Ivory Coast,2026,27000000
Jamaica,2026,42425000
Japan,2026,290500000
Kuwait,2026,27000000
Mexico,2026,214500000
Morocco,2026,426000000
Netherlands,2026,773000000
New Zealand,2026,34950000
Nigeria,2026,329000000
North Korea,2026,27000000
Northern Ireland,2026,109100000
Norway,2026,380000000
Panama,2026,33025000
Paraguay,2026,145400000
Peru,2026,33500000
Poland,2026,234300000
Portugal,2026,714000000
Qatar,2026,21625000
Republic of Ireland,2026,27000000
Romania,2026,103000000
Russia,2026,266000000
Saudi Arabia,2026,23000000
Scotland,2026,137200000
Senegal,2026,366500000
Serbia,2026,217000000
Slovakia,2026,128750000
Slovenia,2026,120950000
South Africa,2026,13750000
South Korea,2026,133700000
Spain,2026,1163000000
Sweden,2026,481500000
Switzerland,2026,303500000
Togo,2026,9550000
Trinidad and Tobago,2026,9600000
Tunisia,2026,53800000
Turkey,2026,27000000
USA,2026,382500000
Ukraine,2026,226600000
United Arab Emirates,2026,23750000
Uruguay,2026,297000000
Wales,2026,169100000
Cape Verde,2026,54500000
Curaçao,2026,27780000
Jordan,2026,20300000
Uzbekistan,2026,85330000
